group	names	scores	logfoldchanges	pvals	pvals_adj
12	SOX5	22.112753	5.4903183	2.382829106927095e-108	1.9110655010553347e-105
12	CACNA2D3	22.112394	4.9126415	2.4018199789225814e-108	1.9110655010553347e-105
12	CCDC85A	22.089031	5.187568	4.0294227030136756e-108	3.137891496872416e-105
12	RBMS1	22.056614	5.0181923	8.253458099486141e-108	6.293433747901922e-105
12	RBFOX2	22.034586	4.6749444	1.3426692212946259e-107	1.0029191054817266e-104
12	KCNN2	21.99203	5.408223	3.4329383049333676e-107	2.5129794979773237e-104
13	KIRREL3	21.31132	8.558479	8.914667896129914e-101	3.26285759666251e-96
13	KCNH7	20.450146	7.0078	5.989674129522293e-93	1.0961403140732273e-88
13	ADGRL2	20.412418	5.2425604	1.297059992500477e-92	1.5824564261836654e-88
13	ROBO2	20.038612	6.1825466	2.5374703467172128e-89	2.3218488040049177e-85
13	PDE4B	19.725203	5.559727	1.310312720110192e-86	9.591751173750627e-83
13	ADARB2	19.437153	6.327627	3.743673596074905e-84	2.2837032881656266e-80
13	ADGRB3	19.398506	5.204494	7.9447269288140485e-84	4.1540707188789e-80
13	NFIA	19.328026	5.5002522	3.121365295279094e-83	1.4280636396563766e-79
13	ZNF804B	19.304323	6.4223814	4.939807178757653e-83	2.008909806107876e-79
13	SAMSN1	18.832798	5.250029	4.066972369783332e-79	1.4885525570643974e-75
13	SNTG1	18.733973	5.598374	2.6164146362308293e-78	8.705762918244053e-75
13	AL358335.2	18.659441	6.6768513	1.0583416301307043e-77	3.228030167034492e-74
13	NRXN3	18.203794	5.1402493	4.815449708367221e-74	1.3557713444303744e-70
13	LINC00470	18.115065	6.6992126	2.4239066107419012e-73	6.336957561411737e-70
13	ZNF804A	17.864828	5.422376	2.2161400215963302e-71	5.4075293953631515e-68
13	CNTNAP2	17.75312	5.30006	1.630369056896513e-70	3.72957111571683e-67
13	CA10	17.606056	4.963027	2.2133735518352544e-69	4.765393257101303e-66
13	RORA	17.29519	2.6309004	5.113413470733367e-67	1.0397558135683997e-63
13	IQCJ-SCHIP1	17.289345	4.283894	5.659234837333415e-67	1.0901771277960017e-63
13	FAM135B	17.199375	4.371034	2.6841426109938235e-66	4.912115185249247e-63
13	NRG3	17.075754	4.082815	2.2489917657166922e-65	3.9197784579522215e-62
13	TRPM1	16.989088	4.6758027	9.891491648052888e-65	1.6456294809562898e-61
13	SOX6	16.766546	5.1165614	4.2871869867241025e-63	6.82240569135169e-60
13	SYNE1	16.35295	3.0813875	4.1442870163472405e-60	6.320210378555222e-57
13	CACNA2D1	16.3262	3.716486	6.426332445682761e-60	9.408407753777389e-57
13	INPP4B	16.263102	4.803249	1.8037080223036575e-59	2.539135281705237e-56
13	DOK6	16.240726	4.2035728	2.5983098969319275e-59	3.5222496495409434e-56
13	ST18	16.126907	4.312888	1.6508507317724242e-58	2.1579567012000893e-55
13	CSMD3	15.922318	4.978527	4.436276376913289e-57	5.412405055713443e-54
13	KHDRBS3	15.717375	3.9770834	1.1499061111799725e-55	1.315241049228068e-52
13	SCN1A	15.6791315	4.9909544	2.10105958497021e-55	2.33032975362105e-52
13	GRM6	15.658094	4.9255686	2.9253016399707882e-55	3.1490872154285535e-52
13	DLG2	15.493444	2.2119896	3.841459684686423e-54	3.8000342140326426e-51
13	NETO1	15.433771	4.092035	9.703039556588192e-54	9.345814495018011e-51
13	FGF12	15.373656	3.787685	2.4589147730616735e-53	2.307659989970008e-50
13	SLC24A2	15.194539	3.8259103	3.8435651334736554e-52	3.516958186256732e-49
13	KCTD16	15.111275	4.2539988	1.3647405243387187e-51	1.2183138519834499e-48
13	FSTL5	15.073093	2.080734	2.4344301422861344e-51	2.1214899437574952e-48
13	KCNMA1	14.989349	3.4773307	8.619300182715659e-51	7.336628046222695e-48
13	EPHA7	14.900019	4.7396536	3.294891558982138e-50	2.7408255897796643e-47
13	NFIA-AS2	14.771818	5.5819917	2.2262633610353374e-49	1.810743672827875e-46
13	KCNB2	14.662186	4.176976	1.1258880637376626e-48	8.958397613230912e-46
13	CADPS	14.658649	3.3178713	1.1860917562803993e-48	9.236626462046574e-46
13	NOVA1	14.246477	3.506758	4.714727142722648e-46	3.595077669808158e-43
13	INSYN2A	14.216253	6.5377593	7.263876314120306e-46	5.4258191219003534e-43
13	OPCML	14.209339	3.6360075	8.017806484651532e-46	5.869194702894615e-43
13	CAMK4	13.995431	3.944152	1.662199172508579e-44	1.169964459865125e-41
13	SEMA3E	13.966693	4.25244	2.4891842723769917e-44	1.7189930859107598e-41
13	EDIL3	13.889127	3.3705277	7.372849078849664e-44	4.997289798795862e-41
13	LINC01915	13.8011465	10.386532	2.508314362009379e-43	1.6394073922125942e-40
14	CDH18	21.036896	8.037325	3.0148421325774845e-98	1.1034623689446852e-93
14	NRXN1	20.904217	6.81717	4.901800865822947e-97	8.970540674499286e-93
14	GRIK2	20.21125	7.2509947	7.794771303348736e-91	9.509880815795569e-87
14	CACNA2D3	18.95686	6.1830964	3.876012729942309e-80	3.5466485482154614e-76
14	ZNF804A	18.866053	6.084664	2.1691185173777378e-79	1.5878381370908519e-75
14	ADGRB3	18.100172	4.832408	3.1767352299735814e-73	1.9378614358710508e-69
14	HS6ST3	17.625132	6.9606915	1.579989477016965e-69	7.228649356037242e-66
14	TMTC2	17.374556	4.518613	1.2859843991429245e-67	5.229812777003353e-64
14	TCF4	16.965311	2.9883924	1.4831174249873366e-64	5.428358087196151e-61
14	FAM155A	16.617277	4.1914077	5.225229887163695e-62	1.7386239918188944e-58
14	DLGAP1	16.489677	4.691046	4.352620279678494e-61	1.3275854571376045e-57
14	DSCAM	16.440529	4.9312353	9.80588634641086e-61	2.760809585884491e-57
14	DTNA	16.269875	4.179318	1.6149039052901293e-59	4.221935559823145e-56
14	GRIA4	16.02874	4.188434	8.04997542173786e-58	1.8414821900689216e-54
14	ANKS1B	15.585225	3.9840732	9.173974625896728e-55	1.9751567369555654e-51
14	ZFPM2	15.529625	5.870384	2.186543040843957e-54	4.212087465154193e-51
14	DAB1	15.492958	4.053733	3.8706374864723744e-54	7.08346013211877e-51
14	TENM2	15.255222	4.6934915	1.5197759380880248e-52	2.6488247195218947e-49
14	KCNIP4	15.23666	2.1650467	2.0193333102753566e-52	3.359528113154015e-49
14	MGAT4C	15.133517	5.64515	9.734980693566139e-52	1.5491740363704966e-48
14	SNHG14	14.930495	2.3309803	2.0870886886032743e-50	3.055581323662738e-47
